id,session_date,duration_min,power,ftp_valid,tss_before,tss_recomputed,diff,if_before,if_recomputed
389,2022-07-08,78,248,250,128,128,0,0.992,0.992
388,2022-07-10,65,182,250,57,57,0,0.728,0.728
387,2022-07-22,149,240,250,229,229,0,0.960,0.960
386,2022-07-26,89,258,250,158,158,0,1.032,1.032
385,2022-07-28,155,220,250,200,200,0,0.880,0.880
383,2022-07-31,121,117,250,44,44,0,0.468,0.468
384,2022-07-31,58,290,250,130,130,0,1.160,1.160
382,2022-08-02,74,290,250,166,166,0,1.160,1.160
381,2022-08-04,166,295,250,385,385,0,1.180,1.180
380,2022-08-07,162,196,250,166,166,0,0.784,0.784
378,2022-08-09,163,238,250,246,246,0,0.952,0.952
377,2022-09-12,89,235,250,131,131,0,0.940,0.940
375,2022-09-13,37,252,250,63,63,0,1.008,1.008
376,2022-09-13,37,247,250,60,60,0,0.988,0.988
374,2022-09-16,154,231,250,219,219,0,0.924,0.924
372,2022-09-21,131,271,250,257,257,0,1.084,1.084
371,2022-09-25,160,227,250,220,220,0,0.908,0.908
370,2022-10-12,60,227,250,82,82,0,0.908,0.908
369,2022-10-15,132,201,250,142,142,0,0.804,0.804
368,2022-10-22,83,199,250,88,88,0,0.796,0.796
367,2022-10-23,165,242,250,258,258,0,0.968,0.968
366,2022-10-26,157,232,250,225,225,0,0.928,0.928
365,2022-10-30,144,256,250,252,252,0,1.024,1.024
364,2022-11-02,146,281,250,307,307,0,1.124,1.124
363,2022-11-05,194,268,250,372,372,0,1.072,1.072
362,2022-11-18,42,227,250,58,58,0,0.908,0.908
361,2022-11-23,89,262,250,163,163,0,1.048,1.048
360,2022-12-02,99,273,250,197,197,0,1.092,1.092
358,2022-12-26,98,260,250,177,177,0,1.040,1.040
359,2022-12-26,9,210,250,11,11,0,0.840,0.840
357,2022-12-29,96,285,250,208,208,0,1.140,1.140
356,2022-12-30,163,266,250,308,308,0,1.064,1.064
355,2023-01-01,81,244,250,129,129,0,0.976,0.976
354,2023-01-03,61,256,250,107,107,0,1.024,1.024
352,2023-01-11,57,273,250,113,113,0,1.092,1.092
351,2023-01-15,201,220,250,259,259,0,0.880,0.880
350,2023-01-18,63,281,250,133,133,0,1.124,1.124
349,2023-01-19,71,245,250,114,114,0,0.980,0.980
348,2023-01-20,97,192,250,95,95,0,0.768,0.768
347,2023-01-22,89,212,250,107,107,0,0.848,0.848
346,2023-01-24,79,204,250,88,88,0,0.816,0.816
345,2023-01-25,63,186,250,58,58,0,0.744,0.744
343,2023-01-28,158,202,250,172,172,0,0.808,0.808
342,2023-01-31,105,203,250,115,115,0,0.812,0.812
341,2023-02-04,152,247,250,247,247,0,0.988,0.988
